VFG016484(gb|WP_009885583)
VFG016483(gb|WP_010875022)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046459(gb|WP_004287053)
VFG046467(gb|WP_014548920)
VFG046474(gb|WP_014714676)
VFG046475(gb|WP_013922406)
VFG016491(gb|WP_011076858)
VFG016485(gb|WP_011113468)
VFG016490(gb|NP_975163)
VFG018651(gb|WP_012130562)
VFG005242(gb|WP_011837269)
VFG016493(gb|WP_011283803)
VFG016492(gb|WP_010925206)
VFG016494(gb|WP_004024476)
VFG016489(gb|WP_011264744)
VFG016486(gb|WP_011206373)
VFG016488(gb|WP_011284269)
VFG013563(gb|WP_005667903)
VFG013564(gb|WP_011961812)
VFG013762(gb|WP_003141352)
VFG010462(gb|WP_011946812)
VFG010461(gb|WP_181443700)
VFG010459(gb|WP_016356941)
VFG010460(gb|WP_011214168)
VFG045698(gb|WP_003632053)
VFG036196(gb|WP_002245812)
VFG006135(gb|WP_011798758)
VFG036222(gb|WP_013448269)
VFG036200(gb|WP_002244388)
VFG036205(gb|WP_014582348)
VFG036198(gb|WP_015815999)
VFG036203(gb|WP_014581605)
VFG036197(gb|WP_014573675)
VFG036199(gb|WP_014575067)
VFG000221(gb|WP_010980743)
VFG006133(gb|WP_010981065)
VFG036204(gb|WP_014581673)
VFG050446(gb|WP_000993712.1)
VFG038428(gb|WP_011707568)
VFG013419(gb|WP_011272430)
VFG013421(gb|WP_005630454)
VFG013418(gb|WP_005694260)
VFG013420(gb|WP_012054458)
VFG013171(gb|WP_012341650)
VFG013422(gb|WP_010945115)
VFG011889(gb|WP_002848505)
VFG011869(gb|WP_002848349)
VFG043394(gb|YP_002343725)
VFG013376(gb|WP_012054551)
VFG013165(gb|WP_012340599)
VFG013375(gb|WP_011272285)
VFG013379(gb|WP_011609132)
VFG013374(gb|WP_005693262)
VFG013377(gb|WP_012055293)
VFG013265(gb|WP_005694045)
VFG013268(gb|WP_012054924)
VFG013267(gb|WP_005656195)
VFG013266(gb|WP_011271949)
VFG013348(gb|WP_012054583)
VFG013347(gb|WP_005652408)
VFG013346(gb|WP_005693178)
VFG013162(gb|WP_012340251)
VFG013350(gb|WP_010945286)
VFG013351(gb|WP_041604256)
VFG011643(gb|WP_011731796)
VFG013390(gb|WP_005651701)
VFG013392(gb|WP_012054515)
VFG013391(gb|WP_011272366)
VFG013412(gb|WP_005693459)
VFG013415(gb|WP_012055425)
VFG013414(gb|WP_012054478)
VFG013413(gb|WP_011272400)
VFG013417(gb|WP_011608520)
VFG013170(gb|WP_012341458)
VFG042809(gb|AAN75211)
VFG013229(gb|WP_010945174)
VFG042386(gb|AAC44560)
VFG050440(gb|WP_000993717.1)
VFG050443(gb|WP_000993715.1)
VFG050447(gb|WP_020753494.1)
VFG050449(gb|WP_000993719.1)
VFG013761(gb|WP_003152762)
VFG001898(gb|YP_002343757)
VFG017786(gb|WP_011990667)
VFG005360(gb|WP_002262489)
VFG005356(gb|WP_000260666)
VFG019077(gb|WP_000260685)
VFG019078(gb|WP_000260667)
VFG018652(gb|WP_006154814)
VFG005359(gb|WP_002899102)
VFG005353(gb|WP_000260656)
VFG005341(gb|WP_002986042)
VFG005344(gb|WP_011054177)
