VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG046475(gb|WP_013922406)
VFG035810(gb|WP_001142963)
VFG001359(gb|WP_000733059)
VFG005807(gb|WP_000733056)
VFG019101(gb|WP_000733058)
VFG018663(gb|WP_012130837)
VFG005810(gb|WP_011836396)
VFG016491(gb|WP_011076858)
VFG016485(gb|WP_011113468)
VFG016490(gb|NP_975163)
VFG038365(gb|WP_011705044)
VFG038370(gb|WP_010634822)
VFG041172(gb|WP_001142966)
VFG016494(gb|WP_004024476)
VFG016492(gb|WP_010925206)
VFG016493(gb|WP_011283803)
VFG016486(gb|WP_011206373)
VFG016489(gb|WP_011264744)
VFG016488(gb|WP_011284269)
VFG013370(gb|WP_005651396)
VFG013371(gb|WP_005648212)
VFG013368(gb|WP_005693225)
VFG013267(gb|WP_005656195)
VFG013268(gb|WP_012054924)
VFG013266(gb|WP_011271949)
VFG013265(gb|WP_005694045)
VFG049193(gb|YP_005228284)
VFG049189(gb|WP_014226431)
VFG049191(gb|WP_014907101)
VFG049194(gb|WP_004150973)
VFG049196(gb|WP_004890358)
VFG049197(gb|WP_032452026)
VFG049192(gb|WP_008806080)
VFG013216(gb|WP_011272418)
VFG013217(gb|WP_041174700)
VFG000331(gb|WP_005693548)
VFG013431(gb|WP_005656815)
VFG013433(gb|WP_011962021)
VFG013435(gb|WP_041604091)
VFG013173(gb|WP_012341733)
VFG043550(gb|NP_214954)
VFG010486(gb|WP_011945838)
VFG001855(gb|WP_197535493)
VFG010484(gb|WP_197535716)
VFG012103(gb|WP_003514589)
VFG049144(gb|WP_002892069)
VFG049136(gb|WP_014228207)
VFG049139(gb|WP_008805437)
VFG049146(gb|WP_012968813)
VFG036991(gb|WP_002246381)
VFG036997(gb|WP_014580612)
VFG036998(gb|WP_014573843)
VFG037008(gb|WP_013448560)
VFG036992(gb|WP_002224969)
VFG036994(gb|WP_002220428)
VFG036999(gb|WP_002258682)
VFG037000(gb|WP_014575520)
VFG037001(gb|WP_002216629)
VFG037005(gb|WP_014582208)
VFG013762(gb|WP_003141352)
VFG010462(gb|WP_011946812)
VFG010461(gb|WP_181443700)
VFG010459(gb|WP_016356941)
VFG010460(gb|WP_011214168)
VFG045698(gb|WP_003632053)
VFG036196(gb|WP_002245812)
VFG006135(gb|WP_011798758)
VFG036222(gb|WP_013448269)
VFG036200(gb|WP_002244388)
VFG036205(gb|WP_014582348)
VFG036198(gb|WP_015815999)
VFG036203(gb|WP_014581605)
