VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG016490(gb|NP_975163)
VFG016492(gb|WP_010925206)
VFG016486(gb|WP_011206373)
VFG016488(gb|WP_011284269)
VFG018666(gb|WP_012000428)
VFG005862(gb|WP_009659423)
VFG006022(gb|WP_002947383)
VFG005973(gb|WP_002263087)
VFG018654(gb|WP_011999748)
VFG012096(gb|WP_011722916)
VFG012101(gb|WP_010965990)
VFG048828(gb|WP_004899420)
VFG048844(gb|WP_014838945)
VFG048845(gb|WP_004122486)
VFG048941(gb|WP_020953355)
VFG048953(gb|WP_012967596)
VFG048968(gb|WP_012541090)
VFG048830(gb|WP_014907233)
VFG016491(gb|WP_011076858)
VFG016485(gb|WP_011113468)
VFG046475(gb|WP_013922406)
VFG019090(gb|WP_000681598)
VFG005530(gb|WP_000681597)
VFG019089(gb|WP_000681601)
VFG016483(gb|WP_010875022)
VFG016484(gb|WP_009885583)
VFG016493(gb|WP_011283803)
VFG016489(gb|WP_011264744)
VFG016494(gb|WP_004024476)
VFG043550(gb|NP_214954)
VFG018661(gb|WP_011999924)
VFG005552(gb|WP_011837486)
VFG005549(gb|WP_000116477)
VFG005550(gb|WP_000116479)
VFG019092(gb|WP_000116465)
VFG019091(gb|WP_000116474)
VFG018663(gb|WP_012130837)
VFG005810(gb|WP_011836396)
VFG001359(gb|WP_000733059)
VFG005807(gb|WP_000733056)
VFG019101(gb|WP_000733058)
VFG013348(gb|WP_012054583)
VFG013347(gb|WP_005652408)
VFG013346(gb|WP_005693178)
VFG013162(gb|WP_012340251)
VFG013350(gb|WP_010945286)
VFG013351(gb|WP_041604256)
VFG013205(gb|WP_012341592)
VFG013630(gb|WP_011608629)
VFG011643(gb|WP_011731796)
VFG012585(gb|WP_001101723)
VFG034227(gb|WP_000992805)
VFG005964(gb|WP_011681173)
VFG006031(gb|WP_011226045)
VFG019116(gb|WP_000358336)
VFG019115(gb|WP_001291066)
VFG005924(gb|YP_001200130)
VFG005911(gb|YP_001197934)
VFG013564(gb|WP_011961812)
VFG013563(gb|WP_005667903)
VFG000331(gb|WP_005693548)
VFG013431(gb|WP_005656815)
VFG013433(gb|WP_011962021)
VFG013435(gb|WP_041604091)
VFG013173(gb|WP_012341733)
VFG042999(gb|ABG47033)
VFG005368(gb|WP_002262850)
VFG043528(gb|WP_002264297)
VFG043000(gb|ABG47034)
VFG013286(gb|WP_005694325)
VFG013288(gb|WP_011961728)
VFG013287(gb|WP_005688951)
VFG013390(gb|WP_005651701)
VFG013392(gb|WP_012054515)
VFG013391(gb|WP_011272366)
VFG037035(gb|WP_002255636)
VFG037028(gb|WP_002218620)
VFG037030(gb|WP_002221625)
VFG037041(gb|WP_014581728)
VFG037031(gb|WP_002216305)
VFG037032(gb|WP_003689973)
VFG037039(gb|WP_002221884)
VFG037029(gb|WP_010951343)
VFG037037(gb|WP_002239455)
VFG037044(gb|WP_013448270)
VFG000332(gb|WP_005632797)
VFG013407(gb|WP_005690709)
VFG013409(gb|WP_012055407)
VFG013169(gb|WP_011609759)
VFG013412(gb|WP_005693459)
VFG013415(gb|WP_012055425)
VFG013414(gb|WP_012054478)
VFG013413(gb|WP_011272400)
VFG013417(gb|WP_011608520)
VFG013170(gb|WP_012341458)
VFG013513(gb|WP_005694655)
VFG013514(gb|WP_011272587)
VFG013515(gb|WP_011961967)
VFG013517(gb|WP_011608883)
VFG013183(gb|WP_012340374)
VFG013516(gb|WP_010944247)
VFG005865(gb|WP_002262524)
VFG005872(gb|WP_002982024)
VFG005879(gb|WP_011018342)
VFG005871(gb|WP_002991444)
VFG000964(gb|WP_010922799)
VFG005875(gb|WP_011889256)
VFG005874(gb|WP_002986125)
VFG005553(gb|WP_002263425)
VFG005546(gb|WP_000107753)
VFG005548(gb|WP_000107750)
VFG005547(gb|WP_000107749)
VFG005534(gb|WP_011054989)
VFG005536(gb|WP_021775465)
VFG005543(gb|WP_002988145)
VFG005544(gb|WP_011018213)
VFG005811(gb|WP_002262031)
VFG018653(gb|WP_011999747)
VFG005360(gb|WP_002262489)
VFG005356(gb|WP_000260666)
VFG019077(gb|WP_000260685)
VFG019078(gb|WP_000260667)
VFG018652(gb|WP_006154814)
VFG005359(gb|WP_002899102)
VFG005353(gb|WP_000260656)
VFG005341(gb|WP_002986042)
VFG005344(gb|WP_011054177)
