VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG046475(gb|WP_013922406)
VFG048828(gb|WP_004899420)
VFG048844(gb|WP_014838945)
VFG048845(gb|WP_004122486)
VFG048941(gb|WP_020953355)
VFG048953(gb|WP_012967596)
VFG048968(gb|WP_012541090)
VFG048830(gb|WP_014907233)
VFG019090(gb|WP_000681598)
VFG005530(gb|WP_000681597)
VFG019089(gb|WP_000681601)
VFG018651(gb|WP_012130562)
VFG005242(gb|WP_011837269)
VFG013466(gb|WP_005654784)
VFG013465(gb|WP_005693586)
VFG013467(gb|WP_005687765)
VFG013468(gb|WP_011962004)
VFG013179(gb|WP_012340566)
VFG013470(gb|WP_011609100)
VFG013469(gb|WP_010944797)
VFG013563(gb|WP_005667903)
VFG013564(gb|WP_011961812)
VFG043550(gb|NP_214954)
VFG037041(gb|WP_014581728)
VFG037028(gb|WP_002218620)
VFG037030(gb|WP_002221625)
VFG037031(gb|WP_002216305)
VFG037035(gb|WP_002255636)
VFG037039(gb|WP_002221884)
VFG037029(gb|WP_010951343)
VFG037032(gb|WP_003689973)
VFG037037(gb|WP_002239455)
VFG037044(gb|WP_013448270)
VFG000332(gb|WP_005632797)
VFG013409(gb|WP_012055407)
VFG013407(gb|WP_005690709)
VFG013169(gb|WP_011609759)
VFG018663(gb|WP_012130837)
VFG005810(gb|WP_011836396)
VFG001359(gb|WP_000733059)
VFG005807(gb|WP_000733056)
VFG019101(gb|WP_000733058)
VFG043000(gb|ABG47034)
VFG013346(gb|WP_005693178)
VFG013347(gb|WP_005652408)
VFG013348(gb|WP_012054583)
VFG013162(gb|WP_012340251)
VFG013351(gb|WP_041604256)
VFG013412(gb|WP_005693459)
VFG013415(gb|WP_012055425)
VFG013414(gb|WP_012054478)
VFG013413(gb|WP_011272400)
VFG013417(gb|WP_011608520)
VFG013170(gb|WP_012341458)
VFG013535(gb|WP_011609092)
VFG013186(gb|WP_012340561)
VFG013530(gb|WP_010869249)
VFG013531(gb|WP_011272485)
VFG013532(gb|WP_012054417)
VFG013533(gb|WP_011961981)
VFG013534(gb|WP_010944436)
VFG042802(gb|AAN75204)
VFG005550(gb|WP_000116479)
VFG005549(gb|WP_000116477)
VFG019091(gb|WP_000116474)
VFG019092(gb|WP_000116465)
VFG018661(gb|WP_011999924)
VFG005552(gb|WP_011837486)
VFG042809(gb|AAN75211)
VFG013229(gb|WP_010945174)
VFG013419(gb|WP_011272430)
VFG013421(gb|WP_005630454)
VFG013418(gb|WP_005694260)
VFG013422(gb|WP_010945115)
VFG013420(gb|WP_012054458)
VFG013171(gb|WP_012341650)
VFG036196(gb|WP_002245812)
VFG006135(gb|WP_011798758)
VFG036200(gb|WP_002244388)
VFG050440(gb|WP_000993717.1)
VFG013761(gb|WP_003152762)
