VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG046475(gb|WP_013922406)
VFG016491(gb|WP_011076858)
VFG016485(gb|WP_011113468)
VFG016494(gb|WP_004024476)
VFG016492(gb|WP_010925206)
VFG016493(gb|WP_011283803)
VFG016490(gb|NP_975163)
VFG016486(gb|WP_011206373)
VFG005242(gb|WP_011837269)
VFG018651(gb|WP_012130562)
VFG048828(gb|WP_004899420)
VFG048844(gb|WP_014838945)
VFG048845(gb|WP_004122486)
VFG048941(gb|WP_020953355)
VFG048953(gb|WP_012967596)
VFG048968(gb|WP_012541090)
VFG048830(gb|WP_014907233)
VFG019090(gb|WP_000681598)
VFG005530(gb|WP_000681597)
VFG019089(gb|WP_000681601)
VFG016489(gb|WP_011264744)
VFG016488(gb|WP_011284269)
VFG016483(gb|WP_010875022)
VFG016484(gb|WP_009885583)
VFG013563(gb|WP_005667903)
VFG013564(gb|WP_011961812)
VFG013370(gb|WP_005651396)
VFG013371(gb|WP_005648212)
VFG013368(gb|WP_005693225)
VFG043550(gb|NP_214954)
VFG010486(gb|WP_011945838)
VFG001855(gb|WP_197535493)
VFG010484(gb|WP_197535716)
VFG012103(gb|WP_003514589)
VFG000266(gb|WP_002222141)
VFG036564(gb|WP_014581618)
VFG036565(gb|WP_041423407)
VFG036566(gb|WP_002218917)
VFG036563(gb|WP_014580982)
VFG036560(gb|WP_002245149)
VFG036562(gb|WP_021439955)
VFG036561(gb|WP_048816140)
VFG011889(gb|WP_002848505)
VFG018663(gb|WP_012130837)
VFG005810(gb|WP_011836396)
VFG001359(gb|WP_000733059)
VFG005807(gb|WP_000733056)
VFG019101(gb|WP_000733058)
VFG013316(gb|WP_011272147)
VFG013315(gb|WP_005694490)
VFG013317(gb|WP_012054648)
VFG013318(gb|WP_012055151)
VFG013265(gb|WP_005694045)
VFG013268(gb|WP_012054924)
VFG013267(gb|WP_005656195)
VFG013266(gb|WP_011271949)
VFG013254(gb|WP_005694093)
VFG013257(gb|WP_005653851)
VFG013255(gb|WP_011271920)
VFG013568(gb|WP_005687630)
VFG000343(gb|WP_164927854)
VFG013242(gb|WP_005693863)
VFG013244(gb|WP_005687511)
VFG013243(gb|WP_011271802)
VFG013348(gb|WP_012054583)
VFG013347(gb|WP_005652408)
VFG013346(gb|WP_005693178)
VFG013162(gb|WP_012340251)
VFG013350(gb|WP_010945286)
VFG013351(gb|WP_041604256)
VFG013205(gb|WP_012341592)
VFG013630(gb|WP_011608629)
VFG000331(gb|WP_005693548)
VFG013431(gb|WP_005656815)
VFG013433(gb|WP_011962021)
VFG013435(gb|WP_041604091)
VFG013173(gb|WP_012341733)
VFG013286(gb|WP_005694325)
VFG013288(gb|WP_011961728)
VFG013287(gb|WP_005688951)
VFG013390(gb|WP_005651701)
VFG013392(gb|WP_012054515)
VFG013391(gb|WP_011272366)
VFG037035(gb|WP_002255636)
VFG037028(gb|WP_002218620)
VFG037030(gb|WP_002221625)
VFG037041(gb|WP_014581728)
VFG037031(gb|WP_002216305)
VFG037032(gb|WP_003689973)
VFG037039(gb|WP_002221884)
VFG037029(gb|WP_010951343)
VFG037037(gb|WP_002239455)
VFG037044(gb|WP_013448270)
VFG000332(gb|WP_005632797)
VFG013407(gb|WP_005690709)
VFG013409(gb|WP_012055407)
VFG013169(gb|WP_011609759)
VFG013412(gb|WP_005693459)
VFG013415(gb|WP_012055425)
VFG013414(gb|WP_012054478)
VFG013413(gb|WP_011272400)
VFG013417(gb|WP_011608520)
VFG013170(gb|WP_012341458)
VFG013418(gb|WP_005694260)
VFG013419(gb|WP_011272430)
VFG013420(gb|WP_012054458)
VFG013421(gb|WP_005630454)
VFG013171(gb|WP_012341650)
VFG013422(gb|WP_010945115)
VFG013513(gb|WP_005694655)
VFG013514(gb|WP_011272587)
VFG013515(gb|WP_011961967)
VFG013517(gb|WP_011608883)
VFG013183(gb|WP_012340374)
VFG013516(gb|WP_010944247)
VFG013465(gb|WP_005693586)
VFG013468(gb|WP_011962004)
VFG013466(gb|WP_005654784)
VFG013467(gb|WP_005687765)
VFG013179(gb|WP_012340566)
VFG013470(gb|WP_011609100)
VFG013469(gb|WP_010944797)
VFG013479(gb|WP_110426417)
VFG013476(gb|WP_032828451)
VFG013477(gb|WP_041174771)
VFG013478(gb|WP_005687393)
VFG013481(gb|WP_041604195)
VFG013181(gb|WP_012340544)
VFG013327(gb|WP_010869047)
VFG013330(gb|WP_012055210)
VFG013329(gb|WP_005685920)
VFG013328(gb|WP_011272203)
VFG013333(gb|WP_011609815)
VFG013160(gb|WP_012340926)
VFG005550(gb|WP_000116479)
VFG005549(gb|WP_000116477)
VFG019091(gb|WP_000116474)
VFG019092(gb|WP_000116465)
VFG018661(gb|WP_011999924)
VFG005552(gb|WP_011837486)
VFG000694(gb|AAP42187)
VFG042386(gb|AAC44560)
