VFG006081(gb|WP_014621820)
VFG006089(gb|WP_011681446)
VFG018667(gb|WP_012000437)
VFG005889(gb|WP_002261974)
VFG005838(gb|WP_011836759)
VFG026980(gb|YP_005923858)
VFG009720(gb|WP_011779686)
VFG009717(gb|WP_011741135)
VFG022859(gb|WP_012393794)
VFG026966(gb|WP_041300173)
VFG026964(gb|WP_015290883)
VFG001405(gb|NP_217219)
VFG026962(gb|WP_015288346)
VFG026963(gb|WP_015303560)
VFG026965(gb|WP_015293867)
VFG022861(gb|WP_013988942)
VFG026984(gb|WP_003878615)
VFG018666(gb|WP_012000428)
VFG005862(gb|WP_009659423)
VFG006022(gb|WP_002947383)
VFG005973(gb|WP_002263087)
VFG005242(gb|WP_011837269)
VFG018651(gb|WP_012130562)
VFG016491(gb|WP_011076858)
VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG016485(gb|WP_011113468)
VFG046475(gb|WP_013922406)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG016490(gb|NP_975163)
VFG013466(gb|WP_005654784)
VFG013465(gb|WP_005693586)
VFG013467(gb|WP_005687765)
VFG013468(gb|WP_011962004)
VFG013469(gb|WP_010944797)
VFG013196(gb|WP_012340438)
VFG013607(gb|WP_041604533)
VFG037101(gb|WP_010951394)
VFG037104(gb|WP_003687002)
VFG037100(gb|WP_010980745)
VFG037099(gb|WP_002216163)
VFG037105(gb|WP_002233356)
VFG037110(gb|WP_002224229)
VFG037112(gb|WP_002221795)
VFG037116(gb|WP_013448170)
VFG013348(gb|WP_012054583)
VFG013347(gb|WP_005652408)
VFG013346(gb|WP_005693178)
VFG013162(gb|WP_012340251)
VFG013350(gb|WP_010945286)
VFG013351(gb|WP_041604256)
VFG005389(gb|WP_011836739)
VFG018657(gb|WP_012000387)
VFG043590(gb|AAL13053)
VFG019097(gb|WP_129559156)
VFG005652(gb|WP_014632427)
VFG011643(gb|WP_011731796)
VFG043003(gb|ZP_07361438)
VFG043005(gb|ZP_07361440)
VFG043000(gb|ABG47034)
VFG019092(gb|WP_000116465)
VFG005549(gb|WP_000116477)
VFG019091(gb|WP_000116474)
VFG005550(gb|WP_000116479)
VFG005552(gb|WP_011837486)
VFG018661(gb|WP_011999924)
VFG005546(gb|WP_000107753)
VFG005553(gb|WP_002263425)
VFG037035(gb|WP_002255636)
VFG037028(gb|WP_002218620)
VFG037030(gb|WP_002221625)
VFG037041(gb|WP_014581728)
VFG037031(gb|WP_002216305)
VFG037032(gb|WP_003689973)
VFG037039(gb|WP_002221884)
VFG037029(gb|WP_010951343)
VFG037037(gb|WP_002239455)
VFG037044(gb|WP_013448270)
VFG005865(gb|WP_002262524)
VFG005872(gb|WP_002982024)
VFG005879(gb|WP_011018342)
VFG005871(gb|WP_002991444)
VFG000964(gb|WP_010922799)
VFG005875(gb|WP_011889256)
VFG005874(gb|WP_002986125)
VFG043004(gb|ZP_07361439)
VFG042386(gb|AAC44560)
VFG005356(gb|WP_000260666)
VFG019077(gb|WP_000260685)
VFG019078(gb|WP_000260667)
VFG005359(gb|WP_002899102)
VFG018652(gb|WP_006154814)
VFG005353(gb|WP_000260656)
VFG005360(gb|WP_002262489)
VFG005341(gb|WP_002986042)
VFG005344(gb|WP_011054177)
