VFG043603(gb|WP_078064065)
VFG018661(gb|WP_011999924)
VFG005552(gb|WP_011837486)
VFG019091(gb|WP_000116474)
VFG019092(gb|WP_000116465)
VFG005549(gb|WP_000116477)
VFG005550(gb|WP_000116479)
VFG018666(gb|WP_012000428)
VFG005862(gb|WP_009659423)
VFG006022(gb|WP_002947383)
VFG005973(gb|WP_002263087)
VFG006081(gb|WP_014621820)
VFG006089(gb|WP_011681446)
VFG018667(gb|WP_012000437)
VFG005838(gb|WP_011836759)
VFG005889(gb|WP_002261974)
VFG005242(gb|WP_011837269)
VFG018651(gb|WP_012130562)
VFG048828(gb|WP_004899420)
VFG048844(gb|WP_014838945)
VFG048845(gb|WP_004122486)
VFG048941(gb|WP_020953355)
VFG048953(gb|WP_012967596)
VFG048968(gb|WP_012541090)
VFG048830(gb|WP_014907233)
VFG005197(gb|WP_000006706)
VFG005195(gb|WP_000006705)
VFG005196(gb|WP_000006702)
VFG018649(gb|WP_012000310)
VFG005198(gb|WP_011836787)
VFG005185(gb|WP_002991968)
VFG000959(gb|WP_010922232)
VFG005177(gb|WP_011054400)
VFG005181(gb|WP_021340474)
VFG005182(gb|WP_002989998)
VFG005176(gb|WP_021775279)
VFG005179(gb|WP_021299312)
VFG005180(gb|WP_011888922)
VFG005184(gb|WP_011017703)
VFG005186(gb|YP_001198858)
VFG005189(gb|WP_011227179)
VFG005190(gb|WP_002952952)
VFG005191(gb|WP_011681101)
VFG001329(gb|WP_000006730)
VFG005192(gb|WP_000006724)
VFG005193(gb|WP_000006720)
VFG019090(gb|WP_000681598)
VFG005530(gb|WP_000681597)
VFG019089(gb|WP_000681601)
VFG019717(gb|WP_003696779)
VFG000264(gb|WP_002247545)
VFG036585(gb|WP_009347163)
VFG006270(gb|WP_002247017)
VFG036582(gb|WP_002226199)
VFG036578(gb|WP_002246308)
VFG036589(gb|WP_013449303)
VFG018800(gb|WP_012221862)
VFG036584(gb|WP_014581391)
VFG036586(gb|WP_002220561)
VFG036581(gb|WP_014575479)
VFG036579(gb|WP_014573899)
VFG036583(gb|WP_014580996)
VFG036580(gb|WP_015815370)
VFG006272(gb|WP_002248093)
VFG045692(gb|WP_197532029)
VFG010486(gb|WP_011945838)
VFG010484(gb|WP_197535716)
VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG046475(gb|WP_013922406)
VFG006068(gb|WP_002902061)
VFG006268(gb|WP_002248160)
VFG036574(gb|WP_014575587)
VFG036573(gb|WP_002246475)
VFG000268(gb|WP_010981084)
VFG036575(gb|WP_014580867)
VFG036577(gb|WP_013449569)
VFG006269(gb|WP_003705045)
VFG019716(gb|WP_003690410)
VFG018663(gb|WP_012130837)
VFG005810(gb|WP_011836396)
VFG001359(gb|WP_000733059)
VFG005807(gb|WP_000733056)
VFG019101(gb|WP_000733058)
VFG005375(gb|WP_000078846)
VFG005376(gb|WP_000078847)
VFG018662(gb|WP_012130507)
VFG005579(gb|WP_000022815)
VFG005580(gb|WP_000022813)
VFG005582(gb|WP_002897814)
VFG005576(gb|WP_000022832)
VFG043469(gb|YP_001201070)
VFG011643(gb|WP_011731796)
VFG043003(gb|ZP_07361438)
VFG043005(gb|ZP_07361440)
VFG043000(gb|ABG47034)
VFG005865(gb|WP_002262524)
VFG005872(gb|WP_002982024)
VFG005879(gb|WP_011018342)
VFG005871(gb|WP_002991444)
VFG000964(gb|WP_010922799)
VFG005875(gb|WP_011889256)
VFG005874(gb|WP_002986125)
VFG006278(gb|WP_002247975)
VFG001366(gb|WP_000565352)
VFG005860(gb|WP_000567603)
VFG019109(gb|WP_000565355)
VFG019110(gb|WP_000565364)
VFG042809(gb|AAN75211)
VFG013229(gb|WP_010945174)
VFG018655(gb|WP_012000309)
