VFG006210(gb|WP_002225868)
VFG018666(gb|WP_012000428)
VFG005862(gb|WP_009659423)
VFG006022(gb|WP_002947383)
VFG005973(gb|WP_002263087)
VFG001359(gb|WP_000733059)
VFG005807(gb|WP_000733056)
VFG019101(gb|WP_000733058)
VFG018663(gb|WP_012130837)
VFG005810(gb|WP_011836396)
VFG005242(gb|WP_011837269)
VFG018651(gb|WP_012130562)
VFG005920(gb|WP_000750328)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG046475(gb|WP_013922406)
VFG016491(gb|WP_011076858)
VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG016485(gb|WP_011113468)
VFG016490(gb|NP_975163)
VFG005652(gb|WP_014632427)
VFG043592(gb|AAF34780)
VFG013563(gb|WP_005667903)
VFG013564(gb|WP_011961812)
VFG049193(gb|YP_005228284)
VFG049189(gb|WP_014226431)
VFG049191(gb|WP_014907101)
VFG049194(gb|WP_004150973)
VFG049196(gb|WP_004890358)
VFG049197(gb|WP_032452026)
VFG049192(gb|WP_008806080)
VFG013466(gb|WP_005654784)
VFG013465(gb|WP_005693586)
VFG013467(gb|WP_005687765)
VFG013468(gb|WP_011962004)
VFG013179(gb|WP_012340566)
VFG013470(gb|WP_011609100)
VFG013469(gb|WP_010944797)
VFG037029(gb|WP_010951343)
VFG037032(gb|WP_003689973)
VFG037028(gb|WP_002218620)
VFG037030(gb|WP_002221625)
VFG037031(gb|WP_002216305)
VFG037035(gb|WP_002255636)
VFG037037(gb|WP_002239455)
VFG037039(gb|WP_002221884)
VFG037041(gb|WP_014581728)
VFG037044(gb|WP_013448270)
VFG001366(gb|WP_000565352)
VFG005860(gb|WP_000567603)
VFG019110(gb|WP_000565364)
VFG019109(gb|WP_000565355)
VFG043394(gb|YP_002343725)
VFG036233(gb|WP_173361998)
VFG013376(gb|WP_012054551)
VFG013165(gb|WP_012340599)
VFG013375(gb|WP_011272285)
VFG013379(gb|WP_011609132)
VFG013374(gb|WP_005693262)
VFG013377(gb|WP_012055293)
VFG013265(gb|WP_005694045)
VFG013268(gb|WP_012054924)
VFG013267(gb|WP_005656195)
VFG013266(gb|WP_011271949)
VFG013568(gb|WP_005687630)
VFG000343(gb|WP_164927854)
VFG013348(gb|WP_012054583)
VFG013347(gb|WP_005652408)
VFG013346(gb|WP_005693178)
VFG013162(gb|WP_012340251)
VFG013350(gb|WP_010945286)
VFG013351(gb|WP_041604256)
VFG013205(gb|WP_012341592)
VFG013630(gb|WP_011608629)
VFG011643(gb|WP_011731796)
VFG005908(gb|WP_001013647)
VFG019115(gb|WP_001291066)
VFG018243(gb|WP_005462534)
VFG000331(gb|WP_005693548)
VFG013431(gb|WP_005656815)
VFG013433(gb|WP_011962021)
VFG013435(gb|WP_041604091)
VFG013173(gb|WP_012341733)
VFG043000(gb|ABG47034)
VFG013286(gb|WP_005694325)
VFG013288(gb|WP_011961728)
VFG013287(gb|WP_005688951)
VFG013390(gb|WP_005651701)
VFG013392(gb|WP_012054515)
VFG013391(gb|WP_011272366)
VFG000332(gb|WP_005632797)
VFG013407(gb|WP_005690709)
VFG013409(gb|WP_012055407)
VFG013169(gb|WP_011609759)
VFG013412(gb|WP_005693459)
VFG013415(gb|WP_012055425)
VFG013414(gb|WP_012054478)
VFG013413(gb|WP_011272400)
VFG013417(gb|WP_011608520)
VFG013170(gb|WP_012341458)
VFG013513(gb|WP_005694655)
VFG013514(gb|WP_011272587)
VFG013515(gb|WP_011961967)
VFG013517(gb|WP_011608883)
VFG013183(gb|WP_012340374)
VFG013516(gb|WP_010944247)
VFG013479(gb|WP_110426417)
VFG013476(gb|WP_032828451)
VFG013477(gb|WP_041174771)
VFG013478(gb|WP_005687393)
VFG013481(gb|WP_041604195)
VFG013181(gb|WP_012340544)
VFG007659(gb|WP_011261022)
VFG007658(gb|WP_011149273)
VFG006278(gb|WP_002247975)
VFG013535(gb|WP_011609092)
VFG013186(gb|WP_012340561)
VFG013530(gb|WP_010869249)
VFG013531(gb|WP_011272485)
VFG013532(gb|WP_012054417)
VFG013533(gb|WP_011961981)
VFG013534(gb|WP_010944436)
VFG013327(gb|WP_010869047)
VFG013330(gb|WP_012055210)
VFG013329(gb|WP_005685920)
VFG013328(gb|WP_011272203)
VFG013333(gb|WP_011609815)
VFG013160(gb|WP_012340926)
VFG005550(gb|WP_000116479)
VFG005549(gb|WP_000116477)
VFG019091(gb|WP_000116474)
VFG019092(gb|WP_000116465)
VFG018661(gb|WP_011999924)
VFG005552(gb|WP_011837486)
VFG042377(gb|AAU44779)
VFG043004(gb|ZP_07361439)
VFG042386(gb|AAC44560)
VFG011869(gb|WP_002848349)
VFG001898(gb|YP_002343757)
VFG017786(gb|WP_011990667)
