VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG046475(gb|WP_013922406)
VFG016490(gb|NP_975163)
VFG018661(gb|WP_011999924)
VFG005552(gb|WP_011837486)
VFG019091(gb|WP_000116474)
VFG019092(gb|WP_000116465)
VFG005549(gb|WP_000116477)
VFG005550(gb|WP_000116479)
VFG018666(gb|WP_012000428)
VFG005862(gb|WP_009659423)
VFG006022(gb|WP_002947383)
VFG005973(gb|WP_002263087)
VFG018665(gb|WP_012000427)
VFG005886(gb|WP_009443641)
VFG006032(gb|WP_011226149)
VFG005985(gb|WP_002263085)
VFG016491(gb|WP_011076858)
VFG016485(gb|WP_011113468)
VFG043000(gb|ABG47034)
VFG043004(gb|ZP_07361439)
VFG018651(gb|WP_012130562)
VFG005242(gb|WP_011837269)
VFG005652(gb|WP_014632427)
VFG043592(gb|AAF34780)
VFG019533(gb|WP_000238754)
VFG000274(gb|WP_000238762)
VFG006492(gb|WP_000238747)
VFG006495(gb|WP_011578340)
VFG043550(gb|NP_214954)
VFG016493(gb|WP_011283803)
VFG016489(gb|WP_011264744)
VFG010486(gb|WP_011945838)
VFG001855(gb|WP_197535493)
VFG010484(gb|WP_197535716)
VFG012103(gb|WP_003514589)
VFG037100(gb|WP_010980745)
VFG037099(gb|WP_002216163)
VFG037105(gb|WP_002233356)
VFG037110(gb|WP_002224229)
VFG037112(gb|WP_002221795)
VFG037101(gb|WP_010951394)
VFG037104(gb|WP_003687002)
VFG037116(gb|WP_013448170)
VFG037029(gb|WP_010951343)
VFG037030(gb|WP_002221625)
VFG037032(gb|WP_003689973)
VFG037035(gb|WP_002255636)
VFG037039(gb|WP_002221884)
VFG037044(gb|WP_013448270)
VFG037028(gb|WP_002218620)
VFG037031(gb|WP_002216305)
VFG037037(gb|WP_002239455)
VFG037041(gb|WP_014581728)
VFG016483(gb|WP_010875022)
VFG016484(gb|WP_009885583)
VFG018663(gb|WP_012130837)
VFG005810(gb|WP_011836396)
VFG001359(gb|WP_000733059)
VFG005807(gb|WP_000733056)
VFG019101(gb|WP_000733058)
VFG019090(gb|WP_000681598)
VFG005530(gb|WP_000681597)
VFG019089(gb|WP_000681601)
VFG005865(gb|WP_002262524)
VFG000964(gb|WP_010922799)
VFG005871(gb|WP_002991444)
VFG005872(gb|WP_002982024)
VFG005879(gb|WP_011018342)
VFG005875(gb|WP_011889256)
VFG005874(gb|WP_002986125)
VFG013564(gb|WP_011961812)
VFG013563(gb|WP_005667903)
VFG019097(gb|WP_129559156)
VFG011643(gb|WP_011731796)
VFG005908(gb|WP_001013647)
VFG019115(gb|WP_001291066)
VFG016494(gb|WP_004024476)
VFG043003(gb|ZP_07361438)
VFG043005(gb|ZP_07361440)
VFG016486(gb|WP_011206373)
VFG016488(gb|WP_011284269)
VFG016492(gb|WP_010925206)
VFG026980(gb|YP_005923858)
VFG026971(gb|YP_007962576)
VFG009717(gb|WP_011741135)
VFG022859(gb|WP_012393794)
VFG026966(gb|WP_041300173)
VFG009718(gb|WP_011728563)
VFG022860(gb|YP_001703741)
VFG026964(gb|WP_015290883)
VFG009720(gb|WP_011779686)
VFG009721(gb|WP_083044596)
VFG009722(gb|WP_083775447)
VFG001405(gb|NP_217219)
VFG022861(gb|WP_013988942)
VFG026962(gb|WP_015288346)
VFG026963(gb|WP_015303560)
VFG026965(gb|WP_015293867)
VFG009719(gb|WP_011894790)
VFG026961(gb|WP_074360147)
VFG026967(gb|WP_071997904)
VFG024128(gb|WP_026071295)
VFG024129(gb|WP_008258548)
VFG026983(gb|WP_086426999)
VFG026985(gb|WP_051073897)
VFG009715(gb|WP_023861150)
VFG006004(gb|WP_001819836)
VFG001366(gb|WP_000565352)
VFG005860(gb|WP_000567603)
VFG019109(gb|WP_000565355)
VFG019110(gb|WP_000565364)
VFG018654(gb|WP_011999748)
VFG018653(gb|WP_011999747)
VFG043001(gb|ABG47035)
