VFG035810(gb|WP_001142963)
VFG005242(gb|WP_011837269)
VFG018651(gb|WP_012130562)
VFG048828(gb|WP_004899420)
VFG048844(gb|WP_014838945)
VFG048845(gb|WP_004122486)
VFG048941(gb|WP_020953355)
VFG048953(gb|WP_012967596)
VFG048968(gb|WP_012541090)
VFG048830(gb|WP_014907233)
VFG043603(gb|WP_078064065)
VFG000266(gb|WP_002222141)
VFG036564(gb|WP_014581618)
VFG036565(gb|WP_041423407)
VFG036566(gb|WP_002218917)
VFG036563(gb|WP_014580982)
VFG036560(gb|WP_002245149)
VFG036562(gb|WP_021439955)
VFG036561(gb|WP_048816140)
VFG038365(gb|WP_011705044)
VFG038370(gb|WP_010634822)
VFG041172(gb|WP_001142966)
VFG043592(gb|AAF34780)
VFG049193(gb|YP_005228284)
VFG049191(gb|WP_014907101)
VFG049192(gb|WP_008806080)
VFG049194(gb|WP_004150973)
VFG049196(gb|WP_004890358)
VFG049197(gb|WP_032452026)
VFG049189(gb|WP_014226431)
VFG013563(gb|WP_005667903)
VFG013564(gb|WP_011961812)
VFG005378(gb|WP_011836996)
VFG013358(gb|WP_005648224)
VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG046475(gb|WP_013922406)
VFG005383(gb|WP_011836786)
VFG005994(gb|WP_011837189)
VFG005552(gb|WP_011837486)
VFG018661(gb|WP_011999924)
VFG005549(gb|WP_000116477)
VFG005550(gb|WP_000116479)
VFG019092(gb|WP_000116465)
VFG019091(gb|WP_000116474)
VFG013416(gb|WP_010944765)
VFG013477(gb|WP_041174771)
VFG013476(gb|WP_032828451)
VFG013478(gb|WP_005687393)
VFG013479(gb|WP_110426417)
VFG006187(gb|WP_002214522)
VFG006189(gb|WP_003692554)
VFG018782(gb|WP_012221313)
VFG019696(gb|WP_003687351)
VFG036372(gb|WP_014580739)
VFG036379(gb|WP_013449451)
VFG036391(gb|WP_013449452)
VFG019697(gb|WP_003687350)
VFG006193(gb|WP_003698035)
VFG036503(gb|WP_014574284)
VFG006242(gb|WP_002221703)
VFG036922(gb|WP_002221202)
VFG036920(gb|WP_002214009)
VFG036919(gb|WP_002246878)
VFG036921(gb|WP_003687757)
VFG036923(gb|WP_012221461)
VFG036936(gb|WP_003708068)
VFG006210(gb|WP_002225868)
VFG036233(gb|WP_173361998)
VFG036535(gb|WP_013449337)
VFG006251(gb|WP_003687545)
VFG006250(gb|WP_002247997)
VFG001205(gb|WP_002214250)
VFG006248(gb|WP_002229166)
VFG013376(gb|WP_012054551)
VFG013165(gb|WP_012340599)
VFG013375(gb|WP_011272285)
VFG013379(gb|WP_011609132)
VFG013374(gb|WP_005693262)
VFG013377(gb|WP_012055293)
VFG013237(gb|WP_005663240)
VFG013238(gb|WP_005687509)
VFG013236(gb|WP_005693864)
VFG013239(gb|WP_012054788)
VFG013265(gb|WP_005694045)
VFG013268(gb|WP_012054924)
VFG013267(gb|WP_005656195)
VFG013266(gb|WP_011271949)
VFG013568(gb|WP_005687630)
VFG000343(gb|WP_164927854)
VFG013348(gb|WP_012054583)
VFG013347(gb|WP_005652408)
VFG013346(gb|WP_005693178)
VFG013162(gb|WP_012340251)
VFG013350(gb|WP_010945286)
VFG013351(gb|WP_041604256)
VFG013205(gb|WP_012341592)
VFG013630(gb|WP_011608629)
VFG005862(gb|WP_009659423)
VFG018666(gb|WP_012000428)
VFG006022(gb|WP_002947383)
VFG005973(gb|WP_002263087)
VFG018243(gb|WP_005462534)
VFG043378(gb|WP_000467802)
VFG000331(gb|WP_005693548)
VFG013431(gb|WP_005656815)
VFG013433(gb|WP_011962021)
VFG013435(gb|WP_041604091)
VFG013173(gb|WP_012341733)
VFG043000(gb|ABG47034)
VFG013286(gb|WP_005694325)
VFG013288(gb|WP_011961728)
VFG013287(gb|WP_005688951)
VFG005810(gb|WP_011836396)
VFG018663(gb|WP_012130837)
VFG005807(gb|WP_000733056)
VFG001359(gb|WP_000733059)
VFG013390(gb|WP_005651701)
VFG013392(gb|WP_012054515)
VFG013391(gb|WP_011272366)
VFG037035(gb|WP_002255636)
VFG037028(gb|WP_002218620)
VFG037030(gb|WP_002221625)
VFG037041(gb|WP_014581728)
VFG037031(gb|WP_002216305)
VFG037032(gb|WP_003689973)
VFG037039(gb|WP_002221884)
VFG037029(gb|WP_010951343)
VFG037037(gb|WP_002239455)
VFG037044(gb|WP_013448270)
