VFG005392(gb|WP_011836622)
VFG018658(gb|WP_041789547)
VFG018651(gb|WP_012130562)
VFG035810(gb|WP_001142963)
VFG009611(gb|WP_011854953)
VFG009612(gb|WP_011558673)
VFG009606(gb|WP_003875456)
VFG009607(gb|WP_011724063)
VFG009610(gb|WP_011781697)
VFG024082(gb|WP_008254502)
VFG009608(gb|WP_011730341)
VFG024081(gb|WP_014941434)
VFG024083(gb|WP_009952352)
VFG024085(gb|WP_014379423)
VFG024084(gb|WP_014384039)
VFG009609(gb|WP_011893045)
VFG001814(gb|NP_215678)
VFG009603(gb|WP_003898749)
VFG022799(gb|WP_013988809)
VFG022800(gb|WP_014000645)
VFG026772(gb|WP_015302871)
VFG026773(gb|WP_015289620)
VFG026774(gb|WP_015292734)
VFG026777(gb|WP_015575030)
VFG022803(gb|WP_041317387)
VFG018666(gb|WP_012000428)
VFG005862(gb|WP_009659423)
VFG006022(gb|WP_002947383)
VFG005973(gb|WP_002263087)
VFG005242(gb|WP_011837269)
VFG048828(gb|WP_004899420)
VFG048844(gb|WP_014838945)
VFG048845(gb|WP_004122486)
VFG048941(gb|WP_020953355)
VFG048953(gb|WP_012967596)
VFG048968(gb|WP_012541090)
VFG048830(gb|WP_014907233)
VFG016491(gb|WP_011076858)
VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG016485(gb|WP_011113468)
VFG046475(gb|WP_013922406)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG016490(gb|NP_975163)
VFG043000(gb|ABG47034)
VFG043004(gb|ZP_07361439)
VFG019090(gb|WP_000681598)
VFG005530(gb|WP_000681597)
VFG019089(gb|WP_000681601)
VFG005649(gb|WP_001193721)
VFG019095(gb|WP_001193722)
VFG019096(gb|WP_001193716)
VFG001364(gb|WP_001193686)
VFG013563(gb|WP_005667903)
VFG013564(gb|WP_011961812)
VFG005934(gb|WP_011837184)
VFG005946(gb|WP_011837185)
VFG005994(gb|WP_011837189)
VFG005552(gb|WP_011837486)
VFG018661(gb|WP_011999924)
VFG005549(gb|WP_000116477)
VFG005550(gb|WP_000116479)
VFG019092(gb|WP_000116465)
VFG019091(gb|WP_000116474)
VFG001366(gb|WP_000565352)
VFG005860(gb|WP_000567603)
VFG019110(gb|WP_000565364)
VFG019109(gb|WP_000565355)
VFG018672(gb|WP_012000442)
VFG018677(gb|WP_012130999)
VFG018660(gb|WP_012131081)
VFG018663(gb|WP_012130837)
VFG005810(gb|WP_011836396)
VFG001359(gb|WP_000733059)
VFG005807(gb|WP_000733056)
VFG019101(gb|WP_000733058)
