VFG036795(gb|WP_002246566)
VFG036798(gb|WP_002221745)
VFG036803(gb|WP_012779520)
VFG000243(gb|WP_002218264)
VFG036804(gb|WP_002220019)
VFG036805(gb|WP_002225884)
VFG036802(gb|WP_002242118)
VFG036797(gb|WP_003688094)
VFG036811(gb|WP_013449660)
VFG005392(gb|WP_011836622)
VFG018658(gb|WP_041789547)
VFG006210(gb|WP_002225868)
VFG018651(gb|WP_012130562)
VFG035810(gb|WP_001142963)
VFG005242(gb|WP_011837269)
VFG016491(gb|WP_011076858)
VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG016485(gb|WP_011113468)
VFG046475(gb|WP_013922406)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG016490(gb|NP_975163)
VFG043000(gb|ABG47034)
VFG043550(gb|NP_214954)
VFG005994(gb|WP_011837189)
VFG005552(gb|WP_011837486)
VFG018661(gb|WP_011999924)
VFG005549(gb|WP_000116477)
VFG005550(gb|WP_000116479)
VFG019092(gb|WP_000116465)
VFG019091(gb|WP_000116474)
VFG036233(gb|WP_173361998)
VFG045688(gb|WP_002294134)
VFG013564(gb|WP_011961812)
VFG013563(gb|WP_005667903)
VFG013265(gb|WP_005694045)
VFG013268(gb|WP_012054924)
VFG013267(gb|WP_005656195)
VFG013266(gb|WP_011271949)
VFG013568(gb|WP_005687630)
VFG000343(gb|WP_164927854)
VFG013348(gb|WP_012054583)
VFG013347(gb|WP_005652408)
VFG013346(gb|WP_005693178)
VFG013162(gb|WP_012340251)
VFG013350(gb|WP_010945286)
VFG013351(gb|WP_041604256)
VFG013205(gb|WP_012341592)
VFG013630(gb|WP_011608629)
VFG048885(gb|WP_014907227)
VFG005862(gb|WP_009659423)
VFG018666(gb|WP_012000428)
VFG006022(gb|WP_002947383)
VFG005973(gb|WP_002263087)
VFG037909(gb|WP_000939041)
VFG037912(gb|WP_000939040)
VFG018243(gb|WP_005462534)
VFG000331(gb|WP_005693548)
VFG013431(gb|WP_005656815)
VFG013433(gb|WP_011962021)
VFG013435(gb|WP_041604091)
VFG013173(gb|WP_012341733)
VFG013286(gb|WP_005694325)
VFG013288(gb|WP_011961728)
VFG013287(gb|WP_005688951)
VFG005810(gb|WP_011836396)
VFG018663(gb|WP_012130837)
VFG005807(gb|WP_000733056)
VFG001359(gb|WP_000733059)
VFG013390(gb|WP_005651701)
VFG013392(gb|WP_012054515)
VFG013391(gb|WP_011272366)
VFG037035(gb|WP_002255636)
VFG037028(gb|WP_002218620)
VFG037030(gb|WP_002221625)
VFG037041(gb|WP_014581728)
VFG037031(gb|WP_002216305)
VFG037032(gb|WP_003689973)
VFG037039(gb|WP_002221884)
VFG037029(gb|WP_010951343)
VFG037037(gb|WP_002239455)
VFG037044(gb|WP_013448270)
VFG000332(gb|WP_005632797)
VFG013407(gb|WP_005690709)
VFG013409(gb|WP_012055407)
VFG013169(gb|WP_011609759)
VFG013412(gb|WP_005693459)
VFG013415(gb|WP_012055425)
VFG013414(gb|WP_012054478)
VFG013413(gb|WP_011272400)
VFG013417(gb|WP_011608520)
VFG013170(gb|WP_012341458)
VFG013513(gb|WP_005694655)
VFG013514(gb|WP_011272587)
VFG013515(gb|WP_011961967)
VFG013517(gb|WP_011608883)
VFG013183(gb|WP_012340374)
VFG013516(gb|WP_010944247)
VFG013465(gb|WP_005693586)
VFG013468(gb|WP_011962004)
VFG013466(gb|WP_005654784)
VFG013467(gb|WP_005687765)
VFG013179(gb|WP_012340566)
VFG013470(gb|WP_011609100)
VFG013469(gb|WP_010944797)
VFG013479(gb|WP_110426417)
VFG013476(gb|WP_032828451)
VFG013477(gb|WP_041174771)
VFG013478(gb|WP_005687393)
VFG013481(gb|WP_041604195)
VFG013181(gb|WP_012340544)
VFG007659(gb|WP_011261022)
VFG007658(gb|WP_011149273)
VFG005865(gb|WP_002262524)
VFG005872(gb|WP_002982024)
VFG005879(gb|WP_011018342)
VFG005871(gb|WP_002991444)
VFG000964(gb|WP_010922799)
VFG005875(gb|WP_011889256)
VFG005874(gb|WP_002986125)
VFG006278(gb|WP_002247975)
VFG013327(gb|WP_010869047)
VFG013330(gb|WP_012055210)
VFG013329(gb|WP_005685920)
VFG013328(gb|WP_011272203)
VFG013333(gb|WP_011609815)
VFG013160(gb|WP_012340926)
VFG036196(gb|WP_002245812)
VFG006135(gb|WP_011798758)
VFG036200(gb|WP_002244388)
VFG050440(gb|WP_000993717.1)
VFG013761(gb|WP_003152762)
VFG042386(gb|AAC44560)
VFG000079(gb|NP_463763)
