VFG026980(gb|YP_005923858)
VFG009720(gb|WP_011779686)
VFG009717(gb|WP_011741135)
VFG022859(gb|WP_012393794)
VFG026966(gb|WP_041300173)
VFG026964(gb|WP_015290883)
VFG001405(gb|NP_217219)
VFG026962(gb|WP_015288346)
VFG026963(gb|WP_015303560)
VFG026965(gb|WP_015293867)
VFG022861(gb|WP_013988942)
VFG026984(gb|WP_003878615)
VFG018665(gb|WP_012000427)
VFG005886(gb|WP_009443641)
VFG006032(gb|WP_011226149)
VFG005985(gb|WP_002263085)
VFG005242(gb|WP_011837269)
VFG018651(gb|WP_012130562)
VFG043000(gb|ABG47034)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046459(gb|WP_004287053)
VFG046467(gb|WP_014548920)
VFG046474(gb|WP_014714676)
VFG046475(gb|WP_013922406)
VFG016483(gb|WP_010875022)
VFG016484(gb|WP_009885583)
VFG016485(gb|WP_011113468)
VFG016490(gb|NP_975163)
VFG016491(gb|WP_011076858)
VFG016493(gb|WP_011283803)
VFG016492(gb|WP_010925206)
VFG016494(gb|WP_004024476)
VFG016489(gb|WP_011264744)
VFG010486(gb|WP_011945838)
VFG001855(gb|WP_197535493)
VFG010484(gb|WP_197535716)
VFG012103(gb|WP_003514589)
VFG005552(gb|WP_011837486)
VFG018661(gb|WP_011999924)
VFG005549(gb|WP_000116477)
VFG005550(gb|WP_000116479)
VFG019092(gb|WP_000116465)
VFG019091(gb|WP_000116474)
VFG037041(gb|WP_014581728)
VFG037028(gb|WP_002218620)
VFG037030(gb|WP_002221625)
VFG037031(gb|WP_002216305)
VFG037035(gb|WP_002255636)
VFG037039(gb|WP_002221884)
VFG037029(gb|WP_010951343)
VFG037032(gb|WP_003689973)
VFG037037(gb|WP_002239455)
VFG037044(gb|WP_013448270)
VFG013564(gb|WP_011961812)
VFG013563(gb|WP_005667903)
VFG043003(gb|ZP_07361438)
VFG043005(gb|ZP_07361440)
VFG042999(gb|ABG47033)
VFG005810(gb|WP_011836396)
VFG018663(gb|WP_012130837)
VFG005807(gb|WP_000733056)
VFG001359(gb|WP_000733059)
VFG013346(gb|WP_005693178)
VFG013347(gb|WP_005652408)
VFG013348(gb|WP_012054583)
VFG013162(gb|WP_012340251)
VFG013351(gb|WP_041604256)
VFG013412(gb|WP_005693459)
VFG013415(gb|WP_012055425)
VFG013414(gb|WP_012054478)
VFG013413(gb|WP_011272400)
VFG013417(gb|WP_011608520)
VFG013170(gb|WP_012341458)
VFG005865(gb|WP_002262524)
VFG005872(gb|WP_002982024)
VFG005879(gb|WP_011018342)
VFG005871(gb|WP_002991444)
VFG000964(gb|WP_010922799)
VFG005875(gb|WP_011889256)
VFG005874(gb|WP_002986125)
VFG042809(gb|AAN75211)
VFG013229(gb|WP_010945174)
VFG043001(gb|ABG47035)
VFG042386(gb|AAC44560)
