VFG026980(gb|YP_005923858)
VFG009720(gb|WP_011779686)
VFG009717(gb|WP_011741135)
VFG022859(gb|WP_012393794)
VFG026966(gb|WP_041300173)
VFG026964(gb|WP_015290883)
VFG001405(gb|NP_217219)
VFG026962(gb|WP_015288346)
VFG026963(gb|WP_015303560)
VFG026965(gb|WP_015293867)
VFG022861(gb|WP_013988942)
VFG026984(gb|WP_003878615)
VFG018661(gb|WP_011999924)
VFG005552(gb|WP_011837486)
VFG019091(gb|WP_000116474)
VFG019092(gb|WP_000116465)
VFG005549(gb|WP_000116477)
VFG005550(gb|WP_000116479)
VFG006081(gb|WP_014621820)
VFG006089(gb|WP_011681446)
VFG018667(gb|WP_012000437)
VFG005838(gb|WP_011836759)
VFG005889(gb|WP_002261974)
VFG005242(gb|WP_011837269)
VFG018651(gb|WP_012130562)
VFG019090(gb|WP_000681598)
VFG005530(gb|WP_000681597)
VFG019089(gb|WP_000681601)
VFG005652(gb|WP_014632427)
VFG009721(gb|WP_083044596)
VFG026971(gb|YP_007962576)
VFG022866(gb|WP_013829374)
VFG026985(gb|WP_051073897)
VFG022860(gb|YP_001703741)
VFG026961(gb|WP_074360147)
VFG026967(gb|WP_071997904)
VFG009715(gb|WP_023861150)
VFG024129(gb|WP_008258548)
VFG013244(gb|WP_005687511)
VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG046467(gb|WP_014548920)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046475(gb|WP_013922406)
VFG018663(gb|WP_012130837)
VFG005810(gb|WP_011836396)
VFG001359(gb|WP_000733059)
VFG005807(gb|WP_000733056)
VFG019101(gb|WP_000733058)
VFG036233(gb|WP_173361998)
VFG013376(gb|WP_012054551)
VFG013165(gb|WP_012340599)
VFG013375(gb|WP_011272285)
VFG013379(gb|WP_011609132)
VFG013374(gb|WP_005693262)
VFG013377(gb|WP_012055293)
VFG013348(gb|WP_012054583)
VFG013347(gb|WP_005652408)
VFG013346(gb|WP_005693178)
VFG013162(gb|WP_012340251)
VFG013350(gb|WP_010945286)
VFG013351(gb|WP_041604256)
VFG005378(gb|WP_011836996)
VFG005375(gb|WP_000078846)
VFG005376(gb|WP_000078847)
VFG043000(gb|ABG47034)
VFG005862(gb|WP_009659423)
VFG018666(gb|WP_012000428)
VFG006022(gb|WP_002947383)
VFG005973(gb|WP_002263087)
VFG043004(gb|ZP_07361439)
VFG013286(gb|WP_005694325)
VFG013288(gb|WP_011961728)
VFG013287(gb|WP_005688951)
VFG013390(gb|WP_005651701)
VFG013392(gb|WP_012054515)
VFG013391(gb|WP_011272366)
VFG037035(gb|WP_002255636)
VFG037028(gb|WP_002218620)
VFG037030(gb|WP_002221625)
VFG037041(gb|WP_014581728)
VFG037031(gb|WP_002216305)
VFG037032(gb|WP_003689973)
VFG037039(gb|WP_002221884)
VFG037029(gb|WP_010951343)
VFG037037(gb|WP_002239455)
VFG037044(gb|WP_013448270)
VFG000332(gb|WP_005632797)
VFG013407(gb|WP_005690709)
VFG013409(gb|WP_012055407)
VFG013169(gb|WP_011609759)
VFG013412(gb|WP_005693459)
VFG013415(gb|WP_012055425)
VFG013414(gb|WP_012054478)
VFG013413(gb|WP_011272400)
VFG013417(gb|WP_011608520)
VFG013170(gb|WP_012341458)
VFG013513(gb|WP_005694655)
VFG013514(gb|WP_011272587)
VFG013515(gb|WP_011961967)
VFG013517(gb|WP_011608883)
VFG013183(gb|WP_012340374)
VFG013516(gb|WP_010944247)
VFG005865(gb|WP_002262524)
VFG005872(gb|WP_002982024)
VFG005879(gb|WP_011018342)
VFG005871(gb|WP_002991444)
VFG000964(gb|WP_010922799)
VFG005875(gb|WP_011889256)
VFG005874(gb|WP_002986125)
VFG036196(gb|WP_002245812)
VFG006135(gb|WP_011798758)
VFG036200(gb|WP_002244388)
VFG050440(gb|WP_000993717.1)
VFG013761(gb|WP_003152762)
VFG042386(gb|AAC44560)
VFG036222(gb|WP_013448269)
VFG050443(gb|WP_000993715.1)
VFG050447(gb|WP_020753494.1)
VFG050449(gb|WP_000993719.1)
VFG013762(gb|WP_003141352)
